invoice_no,line_no,item_code,item_name,unit,qty,unit_price_field,pct1,pct2,line_total,source_file
9658,3,104,برجر الهنا 400 جرام,طبق,75,28.50,0.00,17,1774.12,فواتير المبيعات من 112025 الى 3152026.md
9658,4,101,كفته الهنا 800 جرام,طبق,180,56.00,0.00,17,8366.40,فواتير المبيعات من 112025 الى 3152026.md
9659,1,102,كفته الهنا 350,طبق,15,27.50,0.00,17,342.38,فواتير المبيعات من 112025 الى 3152026.md
9660,1,102,كفته الهنا 350,طبق,45,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9661,1,101,كفته الهنا 800 جرام,طبق,12,56.00,0.00,10,604.80,فواتير المبيعات من 112025 الى 3152026.md
9662,1,346,بانية 800 جرام,طبق,60,50.00,0.00,0,3000,فواتير المبيعات من 112025 الى 3152026.md
9663,1,257,سجق الهنا 5 كيلو,طبق,100,300.00,0.00,0,30000,فواتير المبيعات من 112025 الى 3152026.md
9664,1,108,سجق الهنا 350,طبق,75,30.00,0.00,17,1867.50,فواتير المبيعات من 112025 الى 3152026.md
9664,2,99,سجق الهنا 800 جرام,طبق,12,61.00,0.00,17,607.56,فواتير المبيعات من 112025 الى 3152026.md
9665,1,108,سجق الهنا 350,طبق,30,30.00,0.00,17,747.00,فواتير المبيعات من 112025 الى 3152026.md
9665,2,120,برجر الهنا 900 جرام,طبق,60,58.50,0.00,17,2913.30,فواتير المبيعات من 112025 الى 3152026.md
9665,3,102,كفته الهنا 350,طبق,45,27.50,0.00,17,1027.12,فواتير المبيعات من 112025 الى 3152026.md
9665,4,101,كفته الهنا 800 جرام,طبق,120,56.00,0.00,17,5577.60,فواتير المبيعات من 112025 الى 3152026.md
9665,5,104,برجر الهنا 400 جرام,طبق,75,28.50,0.00,17,1774.12,فواتير المبيعات من 112025 الى 3152026.md
9666,1,13,سجق شرقى 3 ك ابو هاشم,كيس 3 كيلو,1,320.00,0.00,0,320,فواتير المبيعات من 112025 الى 3152026.md
9667,1,8,كفته 350 جم ابو هاشم,طبق,1,40.00,0.00,0,40,فواتير المبيعات من 112025 الى 3152026.md
9667,2,114,كفته ابو هاشم 800,طبق,1,85.00,0.00,0,85,فواتير المبيعات من 112025 الى 3152026.md
9668,1,107,سجق 800 ابو هاشم,طبق,1,95.00,0.00,0,95,فواتير المبيعات من 112025 الى 3152026.md
9668,2,114,كفته ابو هاشم 800,طبق,1,85.00,0.00,0,85,فواتير المبيعات من 112025 الى 3152026.md
9668,3,270,برجر اسبشيال,طبق,2,55.00,0.00,0,110,فواتير المبيعات من 112025 الى 3152026.md
9669,1,257,سجق الهنا 5 كيلو,طبق,5,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9670,1,102,كفته الهنا 350,طبق,15,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9671,1,101,كفته الهنا 800 جرام,طبق,36,56.00,0.00,17,1673.28,فواتير المبيعات من 112025 الى 3152026.md
9671,2,120,برجر الهنا 900 جرام,طبق,36,58.50,0.00,17,1747.98,فواتير المبيعات من 112025 الى 3152026.md
9671,3,102,كفته الهنا 350,طبق,60,27.50,0.00,17,1369.50,فواتير المبيعات من 112025 الى 3152026.md
9671,4,108,سجق الهنا 350,طبق,45,30.00,0.00,17,1120.50,فواتير المبيعات من 112025 الى 3152026.md
9671,5,99,سجق الهنا 800 جرام,طبق,36,61.00,0.00,17,1822.68,فواتير المبيعات من 112025 الى 3152026.md
9671,6,104,برجر الهنا 400 جرام,طبق,45,28.50,0.00,17,1064.48,فواتير المبيعات من 112025 الى 3152026.md
9672,1,102,كفته الهنا 350,طبق,15,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9673,1,114,كفته ابو هاشم 800,طبق,1,90.00,0.00,0.00,90.00,فواتير المبيعات من 112025 الى 3152026.md
9674,1,257,سجق الهنا 5 كيلو,طبق,4,300.00,0.00,0,1200,فواتير المبيعات من 112025 الى 3152026.md
9675,1,120,برجر الهنا 900 جرام,طبق,120,58.50,0.00,17,5826.60,فواتير المبيعات من 112025 الى 3152026.md
9675,2,108,سجق الهنا 350,طبق,150,30.00,0.00,17,3735.00,فواتير المبيعات من 112025 الى 3152026.md
9675,3,104,برجر الهنا 400 جرام,طبق,150,28.50,0.00,17,3548.25,فواتير المبيعات من 112025 الى 3152026.md
9676,1,101,كفته الهنا 800 جرام,طبق,12,56.00,0.00,10,604.80,فواتير المبيعات من 112025 الى 3152026.md
9677,1,102,كفته الهنا 350,طبق,45,0.00,0.00,0,0,فواتير المبيعات من 112025 الى 3152026.md
9678,1,101,كفته الهنا 800 جرام,طبق,120,56.00,0.00,17,5577.60,فواتير المبيعات من 112025 الى 3152026.md
9678,2,102,كفته الهنا 350,طبق,45,27.50,0.00,17,1027.12,فواتير المبيعات من 112025 الى 3152026.md
9678,3,108,سجق الهنا 350,طبق,75,30.00,0.00,17,1867.50,فواتير المبيعات من 112025 الى 3152026.md
9678,4,104,برجر الهنا 400 جرام,طبق,45,28.50,0.00,17,1064.48,فواتير المبيعات من 112025 الى 3152026.md
9678,5,346,بانية 800 جرام,طبق,60,50.00,0.00,0,3000,فواتير المبيعات من 112025 الى 3152026.md
9679,1,101,كفته الهنا 800 جرام,طبق,1,50.00,0.00,0,50,فواتير المبيعات من 112025 الى 3152026.md
9679,2,16,كرتونه كبده امريكى,كيلو,1.5,170.00,0.00,0,255,فواتير المبيعات من 112025 الى 3152026.md
9679,3,8,كفته 350 جم ابو هاشم,طبق,1,35.00,0.00,0,35,فواتير المبيعات من 112025 الى 3152026.md
9680,1,257,سجق الهنا 5 كيلو,طبق,20,300.00,0.00,0,6000,فواتير المبيعات من 112025 الى 3152026.md
9681,1,102,كفته الهنا 350,طبق,300,27.50,0.00,17,6847.5,فواتير المبيعات من 112025 الى 3152026.md
